# examples/sample-trades.tsv —— data/trades.tsv 的格式示例
#
# ⚠️ 下面所有数字(股数、价格、金额、占比)均为虚构,仅用于演示字段格式与标签用法。
#    不代表任何真实交易、真实持仓或任何操作建议。
#
# 字段规范见 docs/DATA_CONTRACT.md §2。制表符分隔,10 列,顺序固定。
# 标签取自 examples/sample-reason-tags.toml(A/B 占位词表,非推荐分类方式)。
# 用它验证脚本:python3 scripts/stats.py --demo
#
date	checkpoint	symbol	side	qty	price	amount	reason_tag	pct_of_position	note
2026-06-01	10:33	AAAA	buy	0.125000	400.00	50.00	建仓	100	示例:首笔;下单报价 399.80(用于估算滑点)
2026-06-08	10:33	AAAA	buy	0.096154	416.00	40.00	加仓	44	示例:在已有仓位上追加
2026-06-09	10:33	BBBB	buy	0.250000	200.00	50.00	建仓	100	示例:另一个标的的首笔
2026-06-15	13:03	AAAA	sell	0.070000	440.00	30.80	减仓A	30	示例:归类为 减仓A 的一次退出决策
2026-06-22	10:33	CCCC	buy	0.400000	125.00	50.00	建仓	100	示例:第三个标的的首笔
2026-06-29	15:37	BBBB	sell	0.100000	215.00	21.50	减仓A	40	示例:归类为 减仓A 的一次退出决策
2026-07-06	13:03	CCCC	sell	0.160000	118.00	18.88	减仓B	40	示例:归类为 减仓B 的一次退出决策
2026-07-13	10:33	AAAA	buy	0.070000	425.00	29.75	加仓	26	示例:再次追加
2026-07-20	15:37	CCCC	sell	0.240000	112.00	26.88	清仓	100	示例:清空该标的
2026-07-27	10:33	AAAA	sell	0.100000	455.00	45.50	减仓A	45	示例:归类为 减仓A 的一次退出决策
2026-08-03	13:03	BBBB	sell	0.015000	220.00	3.30	清仓	100	示例:清掉剩余零头
